Question,Answer
What does the 'about simetrixsimplis documentation' section cover?,simetrixsimplis documentation
What does the 'html documentation' section cover?,running first example html report optimisation run complete generate html report show specication measurements parameters along full results generate html report select menu optimiser create optimiser html report see example html report
What does the 'pdf documentation ' section cover?,simetrixsimplis documentation
What does the 'what is simetrix ' section cover?,simetrix versions
What does the 'what is simplis' section cover?,simplis example
What does the 'why simulate' section cover?,tutorial simple smps circuit tutorial simulate simple smps switching stage demonstrate advanced plotting waveform analysis facilities available simetrix
What does the 'system requirements ' section cover?,system requirements
What does the 'operating system ' section cover?,operating point specify dc operating point analysis check dcop note operating point performed automatically analysis modes useful analysis specied
What does the 'hardware ' section cover?,hardware simetrix run satisfactorily system meets following requirements system running one supported operating systems listed system meets minimum hardware requirement operating system systems display minimum vertical resolution pixels minimum horizontal resolution pixels
What does the 'recommended system' section cover?,editing menu system
What does the 'multicore processors' section cover?,multicore processors simetrix exploit multiple core cpus number ways benet multiple core processors note however require simetrix pro simetrix elite license able use multiple core features note also simetrix effectively use hyperthreading information see following sections simulation multicore processors using multiple cores multistep analyses multicore multistep simplis analyses
What does the 'acknowledgements' section cover?,acknowledgements
What does the 'quick start ' section cover?,setting transient analysis select menu simulator choose analysis select transient check box right select transient tab top enter parameters described following sections analysis parameters stop time nish time transient analysis start saving data data required create plots start output time start plotting data plot data output similar function subtly different see details plot data output number plot points total number points generated evenly spaced within start stop times advanced pressing advanced button opens following dialog
What does the 'introduction' section cover?,simetrix chapter introduction
What does the 'examples and tutorialswhere are they ' section cover?,examples tutorials windows example les distributed packages installed cprogramdatasimetrix technologiessimetrixupdaterinstalled intended used location instead copied documents folder simetrix starts rst time accept option cant nd examples les select menu file options rebuild examples install documents folder following tutorial discussions examples directory referred examples
What does the 'simulation for the novice' section cover?,simulation options
What does the 'tutorial a simple ready to run circuit ' section cover?,tutorial simple ready run circuit wire capacitor c shown using similar procedure resistor r
What does the 'tutorial a simple smps circuit ' section cover?,tutorial simple smps circuit shows operating current less
What does the 'tutorial installing third party models' section cover?,tutorial installing third party models press f select mean cursor span preprocess option new peak power cycle w region much
What does the 'notes' section cover?,j error always occur real imaginary parts zero using ln ac analysis data see notes log function
What does the 'getting started' section cover?,install cd xii chapter welcome simple tutorial see tutorial introduction basic guidance main features see getting started detailed documentation refer one following schematic editor gui environment simetrix simulator analysis modes simplis simulator analysis modes installing models finding placing parts waveform viewer
What does the 'simulation modessimetrix or simplis' section cover?,simplis example
What does the 'using the schematic editor' section cover?,using schematic editor
What does the 'creating a schematic ' section cover?,creating models
What does the 'circuit rules ' section cover?,circuit rules zoom full fit area press home key whole schematic current window size
What does the 'analysis modes' section cover?,analysis modes
What is the overview of overview ?,overview process installing third party spice models always fundamentally tricky one
What does the 'setting up a simetrix simulaton ' section cover?,setting simetrix simulaton analysis mode setup selecting menu simulator choose analysis simetrix mode displays following dialog box
What does the 'setting up a simplis simulation' section cover?,simplis example
What does the 'manual entry of simulator commands ' section cover?,hierarchical schematic entry
What does the 'running the simulator' section cover?,running simulator
What does the 'simetrix ' section cover?,simetrix versions
What does the 'simplis ' section cover?,simplis example
What does the 'plotting simulation results' section cover?,plotting simulation results
What is the overview of overview ?,overview process installing third party spice models always fundamentally tricky one
What does the 'fixed probes ' section cover?,fixed probes
What does the 'random probes i' section cover?,random probes
What does the 'simetrix gui environment' section cover?,optimiser gui description
What is the overview of overview ?,overview process installing third party spice models always fundamentally tricky one
What does the 'interaction ' section cover?,interaction system views present regions system view placed shown blue relation workspace view shown white view dragged guiding regions shown blue displayed highlight view dragged alternatively views moved new existing windows interaction section detail given arranging layouts within window
What does the 'directory viewer ' section cover?,directory viewer directory viewer system view enables navigation simetrix related les directories default simetrix folder documents directory appear view rst use simetrix shown gure view display folders within directory along les associated program double clicking le open program
What does the 'interface styles ' section cover?,interface styles style user interface swapped two preset styles lighter darker style two styles shown two gures swap two styles use file options interface colour also cause schematic styles changed
What does the 'schematic editor' section cover?,using schematic editor
What does the 'fundamentals ' section cover?,fundamentals
What does the 'schematic windows and sheets ' section cover?,sysapplicationdatadir system dened location following table shows typical locations supported windows systems operating system path windows windows cusersusernameappdataroaming username log name currently used typical locations english language versions windows user system administrator may move also names used may different nonenglish versions windows full versions simetrix locate simetrix application data directory typing following command command line show translatelogicalpathsxappdatapath
What does the 'schematic editor window' section cover?,schematic editor window
How can editing operations be edited?,curve operations
What does the 'wiring' section cover?,fundamentals exactly locations require dont need change global settings select mode desire procedures mode different freely switch one wiring operation next however applications wont need use manual wiring method smart wiring method still used enter wire segments one one simply selecting start end points obvious straight line route fundamental difference smart manual smart mode always route around obstacles existing wire terminations whole symbols manual mode wire always go exactly take even crosses existing connections passes existing symbols smart wiring procedure initiate smart wiring bringing mouse cursor close either unselected symbol pin unselected wire end notice cursor changes shape depict pen symbol click left button press release mark starting point wire connection move cursor destination point may anywhere schematic wire end symbol pin viable route start point destination point simetrix locate draw wire route smart wiring notes smart wiring algorithm use heuristic algorithm nds many routes possible chooses best one based number criteria criteria used selection include number corners number wires crossed number property labels crossed overall length attempts nd aesthetically pleasing route somewhat subjective may necessarily nd route may chosen manually however tests found usually nds best route situations corners required developing algorithm paid particular attention common scenarios found analog design routing output opamp back inverting input nd common scenarios work well smart wiring options two option control smart wiring algorithm firstly disable smart wiring algorithm altogether case smart wiring procedure place wires similar fashion manual wiring methods secondly option controls whether smart wiring algorithm allowed route wires existing wires connected start end points default option ie smart algorithm allowed route connected wires option algorithm allow wires route connect existing wire regardless connected general recommend option left switched change smart wiring options select menu file options general two wiring options section titled wiring manual wiring procedure three button mouse start wire clicking middle button clicking middle button second time complete wire start new one click right button terminate wiring
What does the 'bus connections ' section cover?,connecting buses hierarchy overview bus connections passed hierarchy much way normal single wire connections bus connections dened underlying schematic symbol representing schematic require special treatment creating bus connections using bottom method enter schematic usual way dene bus connection place part hierarchy place module bus port instead usual module port select device press f dene port name bus size ie number wires bus save schematic component select menu hierarchy opencreate symbol schematic edit symbol required save
What does the 'copying to the clipboard ' section cover?,copying clipboard copy schematics clipboard select entire schematic choose menu edit copy wish schematic copied black white select edit copy monochromatic recommended zoom schematic window prior copying clipboard copying clipboard schematic pasted another application word processor
What does the 'annotating a schematic ' section cover?,annotating graph
What does the 'assigning part references' section cover?,assigning part references standard behaviour place parts schematic automatically assigned part reference r q c etc references assigned sequence breaks sequence reused place resistors schematic r r r r delete r next resistor placed use reference r become available setting start value default auto assigned references start change using annominsufx option variable see table list options example type command line set annominsuffix auto assigned part references begin assigning position reassign part references allocated position schematic select menu edit assign references position
What does the 'checking the schematic ' section cover?,checking schematic schematic menu simulator check performs number checks first netlist circuit created process following potential errors reported unconnected pins dangling wires
What does the ' schematic preferences ' section cover?,overview simetrix common applications needs store number values affect operation program known conguration settings included among locations installed symbol libraries installed model libraries font preferences colour preferences default window positions
How can you remove or delete  adding and removing worksheets ?,adding removing worksheets number standard sizes worksheet included see menu place worksheets worksheet menus automatically protect worksheet placed prevents selected delete worksheet use place worksheet delete worksheet menu avoid placing worksheet place symbol library menu protected
What does the ' finding and specifying net names' section cover?,finding specifying net names simulation run netlist schematic created delivered simulator netlist generator automatically assigns names every net node circuit situations need nd name net example noise analysis see noise analysis must specify output node situations either nd name net netlist generator assigned alternatively specify name choice find assigned net name place mouse cursor net interest see name appear fth entry status box base schematic window form netnetname note schematic must netlisted work netlisting occurs run simulation example force time selecting menu simulator check
What does the 'hierarchical schematic entry ' section cover?,hierarchical schematic entry
What does the 'topdown method' section cover?,vn using method
What does the 'bottomup method' section cover?,vn using method
What does the 'navigating hierarchical designs ' section cover?,navigating hierarchical designs number means navigating hierarchical designs go one level jump straight top level root descending block select block either press controle select hierarchy descend schematic attached block already open brought view isnt opened note schematic associated block entered important one block attached schematic intend plot curves simulation explained fully section simulating hierarchical designs ascending parent schematic select hierarchy ascend schematic open brought view isnt opened
What does the 'placingfull vs relative path' section cover?,placing full vs relative path components placed using full path relative path placed full path component le referenced using full le system path name eg cprojectsprojampliersxcmp allows schematic le uses component freely moved long component le stays place however component le moved schematic longer able locate placed relative path component le referenced le system path name relative schematic uses likely component le directory folder schematic therefore referenced le name alone eg ampliersxcmp allows
What does the 'connecting buses in a hierarchy ' section cover?,fundamentals connecting buses hierarchy see connecting buses hierarchy
What does the 'global nets' section cover?,global pins supposing two instances hierarchical block wish connect different supply rails would need connect supplies say vcc pins top level explicit ie nonglobal connections lower levels every child schematic lower levels would also need vcc pins however sometime convenient hide connections one supply entire design done using global nets however scenario described two versions vcc would able use global net case solution use feature simetrix called global pins global pins dened symbol denition pin dened global net name available child schematics levels without need explicitly passed
What does the 'global pins' section cover?,hierarchical schematic entry example vcc vee connections made block without passed via parent block trivial example supplied example see exampleshierarchyglobal pins creating global pins dene global pin select symbol editor menu propertypin global pins double click pin wish assign global select yes
What does the 'passing parameters through a hierarchy' section cover?,special parts params freqk q note information passing parameters hierarchical block please refer passing parameters hierarchy
